Periodicity;Year;Quarter;Month;Indicator;Value in Different Units;Date;Date_Object
Monthly;2020;;MAY;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;14638843.099;MAY 2020;2020-05-01
Monthly;2020;;JUN;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;22812388.771;JUN 2020;2020-06-01
Monthly;2020;;OCT;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;21852136.102;OCT 2020;2020-10-01
Monthly;2021;;MAY;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;25780391.9289287;MAY 2021;2021-05-01
Monthly;2021;;JUL;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;24632782.0267586;JUL 2021;2021-07-01
Monthly;2021;;AUG;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;25766088.5212286;AUG 2021;2021-08-01
Monthly;2021;;NOV;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;25771913.533;NOV 2021;2021-11-01
Monthly;2022;;JUL;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;27296164.5724365;JUL 2022;2022-07-01
Monthly;2022;;NOV;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;27651431.3115231;NOV 2022;2022-11-01
Monthly;2023;;JUN;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;29863961.8884161;JUN 2023;2023-06-01
Monthly;2023;;NOV;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;29685626.9065249;NOV 2023;2023-11-01
Monthly;2024;;MAR;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;28136797.9563136;MAR 2024;2024-03-01
Monthly;2024;;DEC;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;26801133.0469644;DEC 2024;2024-12-01
Monthly;2025;;JAN;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;26281390.6313646;JAN 2025;2025-01-01
Monthly;2025;;FEB;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;26213344.9206148;FEB 2025;2025-02-01
Monthly;2026;;FEB;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;25464835.1021931;FEB 2026;2026-02-01
Monthly;2019;;JAN;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);282076.265;JAN 2019;2019-01-01
Monthly;2019;;DEC;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);1700783.178;DEC 2019;2019-12-01
Monthly;2020;;MAY;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);3723878.45946;MAY 2020;2020-05-01
Monthly;2021;;JUN;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);5887856.87202002;JUN 2021;2021-06-01
Monthly;2022;;APR;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);10264007.96507;APR 2022;2022-04-01
Monthly;2022;;MAY;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);9119466.87663;MAY 2022;2022-05-01
Monthly;2022;;JUL;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);10227355.6572;JUL 2022;2022-07-01
Monthly;2022;;OCT;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);10897258.9874799;OCT 2022;2022-10-01
Monthly;2022;;NOV;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);11222357.2916699;NOV 2022;2022-11-01
Monthly;2023;;JUL;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);12899048.428;JUL 2023;2023-07-01
Monthly;2023;;SEP;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);13849693.09504;SEP 2023;2023-09-01
Monthly;2024;;JAN;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);14426485.73744;JAN 2024;2024-01-01
Monthly;2024;;MAR;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);15889111.1362;MAR 2024;2024-03-01
Monthly;2024;;JUL;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);16637715.10298;JUL 2024;2024-07-01
Monthly;2024;;SEP;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);17461812.5970699;SEP 2024;2024-09-01
Monthly;2025;;FEB;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);20885626.1083001;FEB 2025;2025-02-01
Monthly;2019;;MAR;E-Commerce Transactions Using Mada Cards : Number of Transactions;1844709.0;MAR 2019;2019-03-01
Monthly;2019;;AUG;E-Commerce Transactions Using Mada Cards : Number of Transactions;3669201.0;AUG 2019;2019-08-01
Monthly;2020;;FEB;E-Commerce Transactions Using Mada Cards : Number of Transactions;6635305.0;FEB 2020;2020-02-01
Monthly;2020;;MAY;E-Commerce Transactions Using Mada Cards : Number of Transactions;18161276.0;MAY 2020;2020-05-01
Monthly;2020;;SEP;E-Commerce Transactions Using Mada Cards : Number of Transactions;16187429.0;SEP 2020;2020-09-01
Monthly;2021;;OCT;E-Commerce Transactions Using Mada Cards : Number of Transactions;33775529.0;OCT 2021;2021-10-01
Monthly;2022;;JAN;E-Commerce Transactions Using Mada Cards : Number of Transactions;40858081.0;JAN 2022;2022-01-01
Monthly;2022;;FEB;E-Commerce Transactions Using Mada Cards : Number of Transactions;38858112.0;FEB 2022;2022-02-01
Monthly;2022;;NOV;E-Commerce Transactions Using Mada Cards : Number of Transactions;60725709.0;NOV 2022;2022-11-01
Monthly;2023;;JAN;E-Commerce Transactions Using Mada Cards : Number of Transactions;62916449.0;JAN 2023;2023-01-01
Monthly;2023;;MAY;E-Commerce Transactions Using Mada Cards : Number of Transactions;70769674.0;MAY 2023;2023-05-01
Monthly;2023;;JUN;E-Commerce Transactions Using Mada Cards : Number of Transactions;74804285.0;JUN 2023;2023-06-01
Monthly;2023;;JUL;E-Commerce Transactions Using Mada Cards : Number of Transactions;70966420.0;JUL 2023;2023-07-01
Monthly;2023;;AUG;E-Commerce Transactions Using Mada Cards : Number of Transactions;76290290.0;AUG 2023;2023-08-01
Monthly;2023;;DEC;E-Commerce Transactions Using Mada Cards : Number of Transactions;81033027.0;DEC 2023;2023-12-01
Monthly;2024;;MAR;E-Commerce Transactions Using Mada Cards : Number of Transactions;95544345.0;MAR 2024;2024-03-01
Monthly;2024;;SEP;E-Commerce Transactions Using Mada Cards : Number of Transactions;98246733.0;SEP 2024;2024-09-01
Monthly;2024;;NOV;E-Commerce Transactions Using Mada Cards : Number of Transactions;98777889.0;NOV 2024;2024-11-01
Monthly;2025;;MAY;E-Commerce Transactions Using Mada Cards : Number of Transactions;147087438.0;MAY 2025;2025-05-01
Monthly;2026;;FEB;E-Commerce Transactions Using Mada Cards : Number of Transactions;169673757.0;FEB 2026;2026-02-01
Annually;2002;;;Total POS :  Sales (In Thousand Riyals);14729107.0;2002;2002-01-01
Annually;2009;;;Total POS :  Sales (In Thousand Riyals);56256358.0;2009;2009-01-01
Annually;2010;;;Total POS :  Sales (In Thousand Riyals);71855105.0;2010;2010-01-01
Annually;2015;;;Total POS :  Sales (In Thousand Riyals);172835452.755;2015;2015-01-01
Annually;2019;;;Total POS :  Sales (In Thousand Riyals);287794256.254685;2019;2019-01-01
Annually;1995;;;Total POS :  Number of Transactions;4470498.0;1995;1995-01-01
Annually;1997;;;Total POS :  Number of Transactions;8667022.0;1997;1997-01-01
Annually;1999;;;Total POS :  Number of Transactions;14283316.0;1999;1999-01-01
Annually;2003;;;Total POS :  Number of Transactions;43018097.0;2003;2003-01-01
Annually;2007;;;Total POS :  Number of Transactions;99434671.0;2007;2007-01-01
Annually;2012;;;Total POS :  Number of Transactions;237945994.0;2012;2012-01-01
Annually;2023;;;Total POS :  Number of Transactions;8971739435.0;2023;2023-01-01
Annually;2024;;;Total POS :  Number of Transactions;10373398062.0;2024;2024-01-01
Annually;1994;;;Total POS :  Number of Points of Sale Terminals;9957.0;1994;1994-01-01
Annually;1995;;;Total POS :  Number of Points of Sale Terminals;14020.0;1995;1995-01-01
Annually;2000;;;Total POS :  Number of Points of Sale Terminals;18537.0;2000;2000-01-01
Annually;2002;;;Total POS :  Number of Points of Sale Terminals;24291.0;2002;2002-01-01
Annually;2023;;;Total POS :  Number of Points of Sale Terminals;1739070.0;2023;2023-01-01
Annually;2021;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;1803246591.0;2021;2021-01-01
Annually;2023;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;4070407726.0;2023;2023-01-01
Annually;2019;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;809233112.0;2019;2019-01-01
Annually;2023;;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;4566090331.0;2023;2023-01-01
Annually;2020;;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;218832355.41;2020;2020-01-01
Annually;2023;;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;353074412.144491;2023;2023-01-01
Annually;2020;;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);38822193.5368;2020;2020-01-01
Annually;2021;;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);74324926.0405895;2021;2021-01-01
Annually;2022;;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);122673465.6764;2022;2022-01-01
Annually;2024;;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);197417278.92221;2024;2024-01-01
Quarterly;1996;Q2;;Total POS :  Sales (In Thousand Riyals);793255.682;Q2 1996;1996-04-01
Quarterly;1996;Q4;;Total POS :  Sales (In Thousand Riyals);859007.232;Q4 1996;1996-10-01
Quarterly;1997;Q2;;Total POS :  Sales (In Thousand Riyals);1005369.02;Q2 1997;1997-04-01
Quarterly;1997;Q3;;Total POS :  Sales (In Thousand Riyals);1079748.0;Q3 1997;1997-07-01
Quarterly;1997;Q4;;Total POS :  Sales (In Thousand Riyals);1084200.0;Q4 1997;1997-10-01
Quarterly;1999;Q3;;Total POS :  Sales (In Thousand Riyals);1557592.0;Q3 1999;1999-07-01
Quarterly;2000;Q1;;Total POS :  Sales (In Thousand Riyals);1446757.0;Q1 2000;2000-01-01
Quarterly;2000;Q2;;Total POS :  Sales (In Thousand Riyals);1907395.0;Q2 2000;2000-04-01
Quarterly;2000;Q3;;Total POS :  Sales (In Thousand Riyals);1937874.0;Q3 2000;2000-07-01
Quarterly;2001;Q4;;Total POS :  Sales (In Thousand Riyals);2909887.0;Q4 2001;2001-10-01
Quarterly;2002;Q2;;Total POS :  Sales (In Thousand Riyals);3689730.0;Q2 2002;2002-04-01
Quarterly;2003;Q3;;Total POS :  Sales (In Thousand Riyals);5320563.0;Q3 2003;2003-07-01
Quarterly;2004;Q2;;Total POS :  Sales (In Thousand Riyals);5788547.0;Q2 2004;2004-04-01
Quarterly;2006;Q2;;Total POS :  Sales (In Thousand Riyals);8117337.9;Q2 2006;2006-04-01
Quarterly;2006;Q4;;Total POS :  Sales (In Thousand Riyals);7464380.49;Q4 2006;2006-10-01
Quarterly;2008;Q2;;Total POS :  Sales (In Thousand Riyals);13797233.0;Q2 2008;2008-04-01
Quarterly;2009;Q4;;Total POS :  Sales (In Thousand Riyals);14423300.0;Q4 2009;2009-10-01
Quarterly;2011;Q2;;Total POS :  Sales (In Thousand Riyals);27142517.0;Q2 2011;2011-04-01
Quarterly;2012;Q2;;Total POS :  Sales (In Thousand Riyals);31751883.0;Q2 2012;2012-04-01
Quarterly;2012;Q3;;Total POS :  Sales (In Thousand Riyals);31074583.0;Q3 2012;2012-07-01
Quarterly;2013;Q4;;Total POS :  Sales (In Thousand Riyals);32727124.253;Q4 2013;2013-10-01
Quarterly;2016;Q3;;Total POS :  Sales (In Thousand Riyals);43102464.309;Q3 2016;2016-07-01
Quarterly;2016;Q4;;Total POS :  Sales (In Thousand Riyals);45374759.962;Q4 2016;2016-10-01
Quarterly;2019;Q3;;Total POS :  Sales (In Thousand Riyals);72138750.0684568;Q3 2019;2019-07-01
Quarterly;2019;Q4;;Total POS :  Sales (In Thousand Riyals);78898524.443;Q4 2019;2019-10-01
Quarterly;2022;Q3;;Total POS :  Sales (In Thousand Riyals);142870781.74678;Q3 2022;2022-07-01
Quarterly;2025;Q2;;Total POS :  Sales (In Thousand Riyals);165703631.732182;Q2 2025;2025-04-01
Quarterly;2000;Q2;;Total POS :  Number of Transactions;4378020.0;Q2 2000;2000-04-01
Quarterly;2002;Q4;;Total POS :  Number of Transactions;9611463.0;Q4 2002;2002-10-01
Quarterly;2007;Q2;;Total POS :  Number of Transactions;25666474.0;Q2 2007;2007-04-01
Quarterly;2013;Q2;;Total POS :  Number of Transactions;65966521.0;Q2 2013;2013-04-01
Quarterly;2013;Q3;;Total POS :  Number of Transactions;66776128.0;Q3 2013;2013-07-01
Quarterly;2014;Q1;;Total POS :  Number of Transactions;75133576.0;Q1 2014;2014-01-01
Quarterly;2014;Q3;;Total POS :  Number of Transactions;82821591.0;Q3 2014;2014-07-01
Quarterly;2015;Q3;;Total POS :  Number of Transactions;97645958.0;Q3 2015;2015-07-01
Quarterly;2016;Q4;;Total POS :  Number of Transactions;146830094.0;Q4 2016;2016-10-01
Quarterly;2017;Q3;;Total POS :  Number of Transactions;173437432.0;Q3 2017;2017-07-01
Quarterly;2018;Q3;;Total POS :  Number of Transactions;260943113.0;Q3 2018;2018-07-01
Quarterly;2018;Q4;;Total POS :  Number of Transactions;301250338.0;Q4 2018;2018-10-01
Quarterly;2020;Q1;;Total POS :  Number of Transactions;543981191.0;Q1 2020;2020-01-01
Quarterly;2021;Q1;;Total POS :  Number of Transactions;1065644781.0;Q1 2021;2021-01-01
Quarterly;2021;Q4;;Total POS :  Number of Transactions;1516108485.0;Q4 2021;2021-10-01
Quarterly;2023;Q2;;Total POS :  Number of Transactions;2174009305.0;Q2 2023;2023-04-01
Quarterly;2024;Q1;;Total POS :  Number of Transactions;2445398282.0;Q1 2024;2024-01-01
Quarterly;2024;Q4;;Total POS :  Number of Transactions;2760311874.0;Q4 2024;2024-10-01
Quarterly;1995;Q3;;Total POS :  Number of Points of Sale Terminals;13089.0;Q3 1995;1995-07-01
Quarterly;1997;Q1;;Total POS :  Number of Points of Sale Terminals;16035.0;Q1 1997;1997-01-01
Quarterly;1997;Q3;;Total POS :  Number of Points of Sale Terminals;15997.0;Q3 1997;1997-07-01
Quarterly;1997;Q4;;Total POS :  Number of Points of Sale Terminals;15881.0;Q4 1997;1997-10-01
Quarterly;1998;Q3;;Total POS :  Number of Points of Sale Terminals;15827.0;Q3 1998;1998-07-01
Quarterly;1999;Q2;;Total POS :  Number of Points of Sale Terminals;16071.0;Q2 1999;1999-04-01
Quarterly;2000;Q1;;Total POS :  Number of Points of Sale Terminals;16785.0;Q1 2000;2000-01-01
Quarterly;2000;Q2;;Total POS :  Number of Points of Sale Terminals;17371.0;Q2 2000;2000-04-01
Quarterly;2001;Q1;;Total POS :  Number of Points of Sale Terminals;18919.0;Q1 2001;2001-01-01
Quarterly;2001;Q2;;Total POS :  Number of Points of Sale Terminals;18407.0;Q2 2001;2001-04-01
Quarterly;2001;Q4;;Total POS :  Number of Points of Sale Terminals;21631.0;Q4 2001;2001-10-01
Quarterly;2002;Q1;;Total POS :  Number of Points of Sale Terminals;22223.0;Q1 2002;2002-01-01
Quarterly;2003;Q1;;Total POS :  Number of Points of Sale Terminals;25126.0;Q1 2003;2003-01-01
Quarterly;2005;Q1;;Total POS :  Number of Points of Sale Terminals;34876.0;Q1 2005;2005-01-01
Quarterly;2005;Q2;;Total POS :  Number of Points of Sale Terminals;37575.0;Q2 2005;2005-04-01
Quarterly;2005;Q3;;Total POS :  Number of Points of Sale Terminals;41636.0;Q3 2005;2005-07-01
Quarterly;2005;Q4;;Total POS :  Number of Points of Sale Terminals;44253.0;Q4 2005;2005-10-01
Quarterly;2006;Q2;;Total POS :  Number of Points of Sale Terminals;48749.0;Q2 2006;2006-04-01
Quarterly;2006;Q4;;Total POS :  Number of Points of Sale Terminals;52784.0;Q4 2006;2006-10-01
Quarterly;2008;Q3;;Total POS :  Number of Points of Sale Terminals;70848.0;Q3 2008;2008-07-01
Quarterly;2009;Q1;;Total POS :  Number of Points of Sale Terminals;74291.0;Q1 2009;2009-01-01
Quarterly;2010;Q1;;Total POS :  Number of Points of Sale Terminals;70469.0;Q1 2010;2010-01-01
Quarterly;2010;Q3;;Total POS :  Number of Points of Sale Terminals;74792.0;Q3 2010;2010-07-01
Quarterly;2011;Q3;;Total POS :  Number of Points of Sale Terminals;86954.0;Q3 2011;2011-07-01
Quarterly;2013;Q1;;Total POS :  Number of Points of Sale Terminals;95969.0;Q1 2013;2013-01-01
Quarterly;2014;Q3;;Total POS :  Number of Points of Sale Terminals;127939.0;Q3 2014;2014-07-01
Quarterly;2019;Q4;;Total POS :  Number of Points of Sale Terminals;438618.0;Q4 2019;2019-10-01
Quarterly;2022;Q4;;Total POS :  Number of Points of Sale Terminals;1438121.0;Q4 2022;2022-10-01
Quarterly;2023;Q2;;Total POS :  Number of Points of Sale Terminals;1603344.0;Q2 2023;2023-04-01
Quarterly;2019;Q1;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;5150372.0;Q1 2019;2019-01-01
Quarterly;2020;Q3;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;196712743.0;Q3 2020;2020-07-01
Quarterly;2020;Q4;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;265465777.0;Q4 2020;2020-10-01
Quarterly;2021;Q1;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;324742211.0;Q1 2021;2021-01-01
Quarterly;2023;Q1;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;904769380.0;Q1 2023;2023-01-01
Quarterly;2020;Q2;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;342932986.0;Q2 2020;2020-04-01
Quarterly;2021;Q3;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;812263844.0;Q3 2021;2021-07-01
Quarterly;2023;Q4;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;1209760343.0;Q4 2023;2023-10-01
Quarterly;2020;Q3;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;16512252.859;Q3 2020;2020-07-01
Quarterly;2022;Q1;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;42556859.6409755;Q1 2022;2022-01-01
Quarterly;2022;Q2;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;45163531.2273007;Q2 2022;2022-04-01
Quarterly;2025;Q1;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;90041971.7610575;Q1 2025;2025-01-01
Quarterly;2025;Q3;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;92352697.3951992;Q3 2025;2025-07-01
Quarterly;2019;Q2;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;17040969.256;Q2 2019;2019-04-01
Quarterly;2020;Q2;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;47722576.284;Q2 2020;2020-04-01
Quarterly;2021;Q1;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;71028334.3179191;Q1 2021;2021-01-01
Quarterly;2021;Q4;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;78875412.8305664;Q4 2021;2021-10-01
Quarterly;2022;Q1;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;81693307.4608701;Q1 2022;2022-01-01
Quarterly;2023;Q2;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;88097138.6619065;Q2 2023;2023-04-01
Quarterly;2023;Q3;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;89021449.5016096;Q3 2023;2023-07-01
Quarterly;2025;Q2;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;73274623.4623956;Q2 2025;2025-04-01
Quarterly;2025;Q3;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Cards;77838963.4075007;Q3 2025;2025-07-01
Quarterly;2019;Q1;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);1017226.264;Q1 2019;2019-01-01
Quarterly;2019;Q2;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);1730288.47043;Q2 2019;2019-04-01
Quarterly;2020;Q4;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);12555375.47592;Q4 2020;2020-10-01
Quarterly;2023;Q2;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);38719317.07659;Q2 2023;2023-04-01
Quarterly;2024;Q4;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);55152848.8470601;Q4 2024;2024-10-01
Quarterly;2025;Q2;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);76640063.5309795;Q2 2025;2025-04-01
Quarterly;2025;Q3;;E-Commerce Transactions Using Mada Cards : Sales (In Thousand Riyals);88289189.7159001;Q3 2025;2025-07-01
Quarterly;2019;Q4;;E-Commerce Transactions Using Mada Cards : Number of Transactions;16257188.0;Q4 2019;2019-10-01
Quarterly;2020;Q3;;E-Commerce Transactions Using Mada Cards : Number of Transactions;46344959.0;Q3 2020;2020-07-01
Quarterly;2021;Q1;;E-Commerce Transactions Using Mada Cards : Number of Transactions;66170035.0;Q1 2021;2021-01-01
Quarterly;2023;Q3;;E-Commerce Transactions Using Mada Cards : Number of Transactions;224452748.0;Q3 2023;2023-07-01
Monthly;1995;;JAN;Total POS :  Sales (In Thousand Riyals);91030.964;JAN 1995;1995-01-01
Monthly;1995;;MAY;Total POS :  Sales (In Thousand Riyals);151430.166;MAY 1995;1995-05-01
Monthly;1995;;JUN;Total POS :  Sales (In Thousand Riyals);162754.729;JUN 1995;1995-06-01
Monthly;1995;;JUL;Total POS :  Sales (In Thousand Riyals);226265.569;JUL 1995;1995-07-01
Monthly;1995;;OCT;Total POS :  Sales (In Thousand Riyals);202290.215;OCT 1995;1995-10-01
Monthly;1995;;DEC;Total POS :  Sales (In Thousand Riyals);246795.804;DEC 1995;1995-12-01
Monthly;1996;;MAR;Total POS :  Sales (In Thousand Riyals);248373.035;MAR 1996;1996-03-01
Monthly;1996;;AUG;Total POS :  Sales (In Thousand Riyals);283035.09;AUG 1996;1996-08-01
Monthly;1996;;NOV;Total POS :  Sales (In Thousand Riyals);280358.129;NOV 1996;1996-11-01
Monthly;1997;;FEB;Total POS :  Sales (In Thousand Riyals);275454.0;FEB 1997;1997-02-01
Monthly;1997;;JUL;Total POS :  Sales (In Thousand Riyals);411135.0;JUL 1997;1997-07-01
Monthly;1998;;MAY;Total POS :  Sales (In Thousand Riyals);393899.0;MAY 1998;1998-05-01
Monthly;1998;;JUL;Total POS :  Sales (In Thousand Riyals);473871.0;JUL 1998;1998-07-01
Monthly;1999;;MAY;Total POS :  Sales (In Thousand Riyals);517923.0;MAY 1999;1999-05-01
Monthly;1999;;JUL;Total POS :  Sales (In Thousand Riyals);559565.0;JUL 1999;1999-07-01
Monthly;1999;;NOV;Total POS :  Sales (In Thousand Riyals);534524.0;NOV 1999;1999-11-01
Monthly;2000;;OCT;Total POS :  Sales (In Thousand Riyals);633253.0;OCT 2000;2000-10-01
Monthly;2001;;JAN;Total POS :  Sales (In Thousand Riyals);660140.0;JAN 2001;2001-01-01
Monthly;2001;;MAY;Total POS :  Sales (In Thousand Riyals);875521.0;MAY 2001;2001-05-01
Monthly;2001;;OCT;Total POS :  Sales (In Thousand Riyals);929826.0;OCT 2001;2001-10-01
Monthly;2002;;FEB;Total POS :  Sales (In Thousand Riyals);935152.0;FEB 2002;2002-02-01
Monthly;2003;;JAN;Total POS :  Sales (In Thousand Riyals);1372843.0;JAN 2003;2003-01-01
Monthly;2003;;NOV;Total POS :  Sales (In Thousand Riyals);1813439.0;NOV 2003;2003-11-01
Monthly;2004;;AUG;Total POS :  Sales (In Thousand Riyals);2011562.0;AUG 2004;2004-08-01
Monthly;2004;;SEP;Total POS :  Sales (In Thousand Riyals);2025153.0;SEP 2004;2004-09-01
Monthly;2004;;NOV;Total POS :  Sales (In Thousand Riyals);2123604.0;NOV 2004;2004-11-01
Monthly;2005;;MAY;Total POS :  Sales (In Thousand Riyals);2146265.0;MAY 2005;2005-05-01
Monthly;2006;;NOV;Total POS :  Sales (In Thousand Riyals);2446341.59;NOV 2006;2006-11-01
Monthly;2007;;JUL;Total POS :  Sales (In Thousand Riyals);3869393.0;JUL 2007;2007-07-01
Monthly;2008;;OCT;Total POS :  Sales (In Thousand Riyals);3812534.0;OCT 2008;2008-10-01
Monthly;2009;;FEB;Total POS :  Sales (In Thousand Riyals);4218856.0;FEB 2009;2009-02-01
Monthly;2009;;AUG;Total POS :  Sales (In Thousand Riyals);4986233.0;AUG 2009;2009-08-01
Monthly;2009;;SEP;Total POS :  Sales (In Thousand Riyals);4467704.0;SEP 2009;2009-09-01
Monthly;2010;;FEB;Total POS :  Sales (In Thousand Riyals);5185648.0;FEB 2010;2010-02-01
Monthly;2010;;MAY;Total POS :  Sales (In Thousand Riyals);6258520.0;MAY 2010;2010-05-01
Monthly;2010;;NOV;Total POS :  Sales (In Thousand Riyals);5834669.0;NOV 2010;2010-11-01
Monthly;2011;;APR;Total POS :  Sales (In Thousand Riyals);9105802.0;APR 2011;2011-04-01
Monthly;2011;;NOV;Total POS :  Sales (In Thousand Riyals);7473237.0;NOV 2011;2011-11-01
Monthly;2012;;APR;Total POS :  Sales (In Thousand Riyals);9717625.0;APR 2012;2012-04-01
Monthly;2012;;MAY;Total POS :  Sales (In Thousand Riyals);10866836.0;MAY 2012;2012-05-01
Monthly;2012;;AUG;Total POS :  Sales (In Thousand Riyals);10356377.0;AUG 2012;2012-08-01
Monthly;2012;;SEP;Total POS :  Sales (In Thousand Riyals);9690070.0;SEP 2012;2012-09-01
Monthly;2012;;OCT;Total POS :  Sales (In Thousand Riyals);10251748.0;OCT 2012;2012-10-01
Monthly;2012;;DEC;Total POS :  Sales (In Thousand Riyals);11380770.0;DEC 2012;2012-12-01
Monthly;2013;;JAN;Total POS :  Sales (In Thousand Riyals);10846007.029;JAN 2013;2013-01-01
Monthly;2013;;MAY;Total POS :  Sales (In Thousand Riyals);12136983.802;MAY 2013;2013-05-01
Monthly;2014;;MAR;Total POS :  Sales (In Thousand Riyals);13107172.69;MAR 2014;2014-03-01
Monthly;2014;;APR;Total POS :  Sales (In Thousand Riyals);12532993.798;APR 2014;2014-04-01
Monthly;2015;;JAN;Total POS :  Sales (In Thousand Riyals);14226961.191;JAN 2015;2015-01-01
Monthly;2015;;JUL;Total POS :  Sales (In Thousand Riyals);14467041.476;JUL 2015;2015-07-01
Monthly;2016;;JUL;Total POS :  Sales (In Thousand Riyals);13568342.173;JUL 2016;2016-07-01
Monthly;2016;;SEP;Total POS :  Sales (In Thousand Riyals);14210119.878;SEP 2016;2016-09-01
