م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
1785,مدينة المعرفة الإقتصادية,Knowledge Economic City
1786,شركة المملكة القابضة,Kingdom Holding Company
1787,شركة لازوردي للمجوهرات,Lazurde Company for Jewelry
1788,شركة ليفا للتأمين,LIVA Insurance Co
1789,شركة أرامكو السعودية لزيوت الأساس,Saudi Aramco Base Oil Co
1790,شركة لومي للتأجير,Lumi Rental Co
1791,الشركة الوطنية لتصنيع وسبك المعادن,National Metal Manufacturing and Casting Co
1792,شركة التعدين العربية السعودية,Saudi Arabian Mining Company
1793,شركة مهارة للموارد البشرية,Maharah Human Resources Co
1794,شركة ملاذ للتأمين التعاوني,Malath Cooperative Insurance Co
1795,شركة مرافق الكهرباء والمياه بالجبيل وينبع,The Power and Water Utility Company for Jubail and Yanbu
1796,شركة مجموعة إم بي سي,MBC Group Co
1797,شركة مكة للإنشاء والتعمير,Makkah Construction and Development Co
1798,شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني,The Mediterranean and Gulf Insurance and Reinsurance Co
1799,صندوق ميفك ريت,MEFIC REIT Fund
1800,شركة الشرق الأوسط لصناعة وإنتاج الورق,Middle East Paper Company
1801,شركة الشرق الأوسط للكابلات المتخصصة,Middle East Specialized Cables Co
1802,شركة مياهنا,Miahona company 
1803,شركة المعمر لأنظمة المعلومات,Al Moammar Information Systems Co
1804,شركة المواساة للخدمات الطبية,Mouwasat Medical Services Co
1805,شركة المرابحة المرنة للتمويل,Morabaha Marina Financing Co
1806,صندوق ملكية عقارات الخليج ريت,Mulkia Gulf Real Estate REIT
1807,صندوق مشاركة ريت,Musharaka REIT Fund
1808,لشركة الوطنية للتنمية الزراعية,National Agricultural Development Co
1809,شركة النهدي الطبية,Nahdi Medical Co
1810,شركة أسمنت نجران,Najran Cement Co
1811,شركة نماء للكيماويات,Nama Chemicals Co
1812,شركة نقي للمياه,Naqi Water Co
1813,شركة نسيج العالمية التجارية,Naseej International Trading Co
1814,شركة النايفات للتمويل,Nayifat Finance Co
1815,الشركة الوطنية للتربية و التعليم,National Company for Learning and Education
1816,شركة الجبس الأهلية,National Gypsum Co
1817,شركة أسمنت المنطقة الشمالية,Northern Region Cement Co
1818,شركة زهرة الواحة للتجارة,Zahrat Al Waha for Trading Co
1819,شركة رابغ للتكرير والبتروكيماويات,Rabigh Refining and Petrochemical Co
1820,شركة أسمنت القصيم,Qassim Cement Company
1821,رسن لتقنية المعلومات,Rasan Information Technology Co.
1822,شركة ريدان الغذائية,Raydan Food Co
1823,شركة البحر الأحمر العالمية,Red Sea International Co
1824,شركة رتال للتطوير العمراني,Retal Urban Development Co
1825,بنك الرياض,Riyad Bank
1826,صندوق الرياض ريت,Riyad REIT Fund
1827,شركة مجموعة كابلات الرياض,Riyadh Cables Group Co
1828,شركة أسمنت الرياض,Riyadh Cement Co
1829,البنك السعودي الأول,Saudi Awwal Bank
1830,الشركة السعودية للصناعات الأساسية,Saudi Basic Industries Corp
1831,شركة سابك للمغذيات الزراعية,SABIC Agri-Nutrients Co
1832,الشركة السعودية للعدد والأدوات,Saudi Company for Hardware
1833,الشركة السعودية لمنتجات الألبان والأغذية,Saudia Dairy and Foodstuff Co
1834,شركة صدر للخدمات اللوجستية,Sadr Logistics Co
1835,البنك السعودي للإستثمار,Saudi Investment Bank
1836,الشركة السعودية للصناعات المتطورة,Saudi Advanced Industries Co
1837,الشركة العربية السعودية للتأمين التعاوني,Saudi Arabian Cooperative Insurance Co
1838,شركة سال السعودية للخدمات اللوجستية,SAL Saudi Logistics Services Co
1839,شركة سلامة للتأمين التعاوني,Salama Cooperative Insurance Co
1840,الشركة السعودية للنقل الجماعي,Saudi Public Transport Company
1841,شركة المصافي العربية السعودية,Saudi Arabia Refineries Co
1842,الشركة السعودية لخدمات السيارات والمعدات,Saudi Automotive Services Co
1843,شركة الكابلات السعودية,Saudi Cable Co
1844,شركة الأسمنت السعودية,Saudi Cement Co
1845,شركة الخزف السعودي,Saudi Ceramic Co
1846,الشركة السعودية للكهرباء,Saudi Electricity Co
1847,شركة الشرق الأوسط للرعاية الصحية,Middle East Healthcare Co
1848,شركة كيان السعودية للبتروكيماويات,Saudi Kayan Petrochemical Co
1849,الشركة السعودية لإعادة التأمين,Saudi Reinsurance Co
1850,مجموعة صافولا,Savola Group
1851,صندوق سدكو كابيتال ريت,SEDCO Capital REIT Fund
1852,مجموعة سيرا القابضة,Seera Group Holding
1853,الشركة السعودية للأسماك,Saudi Fisheries Co
1854,الشركة السعودية للخدمات الأرضية,Saudi Ground Services Co
1855,شركة الحسن غازي إبراهيم شاكر,Al Hassan Ghazi Ibrahim Shaker Co
1856,شركة الشرقية للتنمية,Ash-Sharqiyah Development Co
1857,شركة سهل للتمويل,SHL Finance Co
1858,صندوق سيكو السعودية ريت,SICO Saudi REIT Fund
1859,الشركة السعودية للتنمية الصناعية,Saudi Industrial Development Co
1860,الشركة السعودية للصادرات الصناعية,Saudi Industrial Export Co
1861,المجموعة السعودية للإستثمار الصناعي,Saudi Industrial Investment Group
1862,شركة سناد القابضة,Sinad Holding Co
1863,شركة الصحراء العالمية للبتروكيماويات,Sahara International Petrochemical Co
1864,شركة البنى التحتية المستدامة القابضة,Sustained Infrastructure Holding Co
1865,البنك الأهلي السعودي,The Saudi National Bank
1866,الشركة العربية لخدمات الإنترنت والاتصالات,Arabian Internet and Communications Services Co
1867,شركة أسمنت المنطقة الجنوبية,Southern Province Cement Company
1868,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,Saudi Pharmaceutical Industries and Medical Appliances Corp
1869,الشركة السعودية لصناعة الورق,Saudi Paper Manufacturing Co
1870,الشركة السعودية للطباعة والتغليف,Saudi Printing and Packaging Co
1871,المجموعة السعودية للأبحاث والإعلام,Saudi Research and Media Group
1872,الشركة السعودية لأنابيب الصلب,Saudi Steel Pipe Co
1873,شركة الإتصالات السعودية,Saudi Telecom Company
1874,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,Dr. Sulaiman Al Habib Medical Services Group
1875,شركة سمو العقارية,Sumou Real Estate Co
1876,الشركة السعودية لإنتاج الأنابيب الفخارية,Saudi Vitrified Clay Pipes Co
1877,شركة مجموعة تداول السعودية القابضة,Saudi Tadawul Group Holding Co
1878,شركة تبوك للتنمية الزراعية,Tabuk Agricultural Development Co
1879,شركة طيبة للإستثمار,Taiba Investments Company
1880,شركة تكوين المتطورة للصناعات,Takween Advanced Industries Co
1881,صندوق تعليم ريت,Taleem REIT Fund
1882,شركة التنمية الغذائية,Tanmiah Food Co
1883,شركة تهامة للإعلان والعلاقات العامة,Tihama Advertising and Public Relations Co
1884,شركة التصنيع الوطنية,National Industrialization Co
1885,الشركة التعاونية للتأمين,The Company for Cooperative Insurance
1886,شركة أسمنت تبوك,Tabuk Cement Co
1887,شركة المشروعات السياحية,Tourism Enterprise Co
1888,شركة ذيب لتأجير السيارات,Theeb Rent a Car Co
1889,شركة ثمار التنمية القابضة,Thimar Development Holding Co
1890,شركة أسمنت ام القرى,Umm Al-Qura Cement Co
1891,الشركة المتحدة للتأمين التعاوني,United Cooperative Assurance Co
1892,شركة وفرة للصناعة والتنمية,Wafrah for Industry and Development Co
1893,شركة ولاء للتأمين التعاوني,Walaa Cooperative Insurance Co
1894,الشركة الوطنية للتأمين,Wataniya Insurance Co
1895,"شركة ينبع الوطنية للبتروكيماويات ""ينساب"" - سابك",Yanbu National Petrochemical Company (Yansab)
1896,شركة أسمنت ينبع,Yanbu Cement Company
1897,شركة أسمنت اليمامة,Yamama Cement Co
1898,شركة الإتصالات المتنقلة السعودية,Mobile Telecommunication Company Saudi Arabia
1899,شركة الزامل للإستثمار الصناعي,Zamil Industrial Investment Co
1900,شركة الصناعات الزجاجية الوطنية,The National Company for Glass Industries
1901,شركة ديبا العربية السعودية للمقاولات والديكور الداخلي المحدودة,DEPA
1902,بنك المنشات الصغيرة والمتوسطة,Small & Medium Enterprises Bank (SME Bank)
1903,الشركة السعودية للضيافة,Saudi Hospitality Company
1904,نادي الفتح,‏ ‏Al Fateh Club
1905,نادي الخليج,‏ ‏‎ Al Khaleej Club
1906,نادي الرياض,‏ Al Riyadh Club
1907,نادي ضمك,‏ Damac Club
1908,نادي العروبة,‏ ‏Al Orobah Club
1909,شركة نادي القادسية,‏ ‏Al Qadsiah Club Company
1910,نادي الرائد,‏ ‏Al Raed Club
1911,نادي الشباب,‏ Al Shabab Club
1912,نادي التعاون,‏ Al Taawoun Club
1913,برنامج جدة التاريخية ,Jeddah Historic District program 
1914,شركة تأجير الطائرات,Aircraft Leasing Company
1915,شركة نادي الأهلي,Al Ahli Club Company
1916,شركة بواني القابضة,Al Bawani Holding Company
1917,نادي الاتفاق,‏Al Ettifaq Club
1918,نادي الفيحاء,‏Al Fayha Club
1919,شركة نادي الهلال,Al Hilal Club Company
1920,شركة نادي الاتحاد,Al Ittihad Club Company
1921,نادي الخلود,‏Al Kholood Club
1922,شركة تراث المدينة,Al Madinah Heritage Company
1923,شركة نادي النصر,Al Nasser Club Company
1924,نادي الاخدود,‏‏Al Okhdood Club
1925,شركة أسواق التميمي,Al Tamimi Markets Company
1926,نادي الوحدة,‏Al Wehda Club
1927,شركة تطوير البلد,AlBalad Development Company
1928,شركة المباني مقاولون عامون,AlMabani General Contractors Company
1929,شركة العلا للتطوير,AlUla Development company
1930,البنك العربي (عمان) المحدود,Arab Bank (Amman)
1931,"الشركة العربية للألياف الصناعية ""أبن رشد"" ",Arabian Industrial Fibers Company (Ibn Rushd)
1932,شركة أرسيلور ميتال تيوبيلر برودكتس الجبيل,ArcelorMittal Tubular Products Al Jubail
1933,شركة أردارا للتطوير,Ardara Development Company
1934,شركة عسير للاستثمار,Aseer Investment Company
1935,اسما كابيتال,ASMA Capital partners
1936,شركة خدمات الطيران,Aviation Services Company
1937,شركة بدائل,Badael Company
1938,شركة بداية لتمويل المنازل,Bidaya FinanceCompany
1939,شركة مجموعة بوتيك,Boutique Group
1940,شركة سير الوطنية للسيارات,Ceer National Automotive Company
1941,شركة مركز الحوكمة,Center for Governance Company
1942,شركة مصدر لحلول البيانات ,Company Masdar Lahloul Al Bayanat
1943,بنك دال 360,D360 Bank
1944,شركة دان,Dan Company
1945,شركة الدرعية,Diriyah Company
1946,شركة البنية التحتية للسيارات الكهربائية,Electric Vehicle Infrastructure Company
1947,شركة السيف مهندسون مقاولون المحدودة,ElSeif Engineering Contracting Company Limited
1948,طيران أديل,Fly Adeal 
1949,شركة صندوق الصناديق,Fund of Funds Company
1950,شركة المستقبل للذكاء الاصطناعي,Future Artificial Intelligence Company
1951,شركة لاتيس الذهبية للاستثمار,Golden Lattice Investments Company
1952,جولف السعودية,Golf Saudi
1953,بنك الخليج الدولي,Gulf International Bank B.S.C
1954,شركة المختبر الخليجي لفحص المعدات الكهربائية,Gulf Lab Electric Equipment Testing Company
1955,شركة تطوير منتجات الحلال,Halal Products Development Company
1956,شركة الصحة القابضة,Health Holding Company 
1957,شركة إدارة الفنادق,Hotel Management Company
1958,الشركة الصناعية للأكترونيات,Industrial Company for Electronics
1959,الشركة الصناعية للإلكترونيات,Industrial Company for Electronics (ICE)
1960,شركة التصنيع وخدمات الطاقة,Industrialization And Energy Services Company
1961,أنوفيتف انيرجي هولدنق,Innovative Energy Holding
1962,شركة جسارة لإدارة المشاريع,Jasara Program Management Company
1963,شركة وسط جدة للتطوير,Jeddah Central Development Company
1964,شركة كياني,Kayanee Company
1965,شركة إدارة وتطوير مركز الملك عبدالله المالي,King Abdullah Financial District Development and Management Company
1966,شركة تطوير مطار الملك سلمان الدولي,King Salman International Airport Development Company
1967,الشركة الكويتية للأغذية (أمريكانا) ش.م.ك.م,Kuwait Food Company (Americana) K.S.C.
1968,لين لخدمات الاعمال,Lean Business Services
1969,شركة منارة المعادن للاستثمار,Manara Minerals Investment Company
1970,الشركة الوطنية للاستثمار في قطاع السيارات والتنقل,National Automotive and Mobility Investment Company
1971,الشركة الوطنية لخدمات الإسكان,National Housing Services Company
1972,الشركة الوطنية لخدمات التسجيل العيني للعقار,National Real Estate Registration Services Company
1973,الشركة الوطنية للخدمات الأمنية,National Security Services Company
1974,الشركة الوطنية للشراء الموحد للأدوية والأجهزة والمستلزمات الطبية,National Unified Procurement Company For Medical Supplies
1975,شركة المياه الوطنية,National Water Company
1976,شركة نيوم,Neom Company
1977,شركة نسما وشركاهم للمقاولات المحدودة,Nesma and Partners Contracting Company Limited
1978,شركة تطوير المربع الجديد,New Murabba Development Company
1979,شركة نون للاستثمارات,Noon investment
1980,شركة تطوير منتزه النفط,Oil Park Development Company
1981,مؤسسة عكاظ للصحافة والنشر,OKAZ ORGANIZATION FOR PRESS & PUBLICATION
1982,شركة الاستثمارات الدوائية,Pharmaceutical Investment Company
1983,بوسكو اي اند سي العربية السعودية,POSCO E&C Saudi Arabia
1984,شركة القدية للاستثمار,Qiddiya Investment Company
1985,شركة البحر الأحمر للسفن السياحية,Red Sea Cruise Company
1986,محطة بوابة البحر الأحمر,Red Sea Gateway Terminal
1987,شركة البحر الأحمر الدولية,Red Sea Global Company
1988,شركة سوق الكربون الطوعي الإقليمية,Regional Voluntary Carbon Market Company
1989,شركة ريمات الرياض للتنمية,Remat AlRiyadh Development Company
1990,شركة مجموعة روشن,Roshn Group Company
1991,شركة رؤى الحرم المكي,Rua Al Haram Al Makki Company
1992,شركة رؤى المدينة القابضة,Rua Al Madinah Holding Company
1993,شركة سدو لحلول الأعمال,SADU Business Solutions
1994,الشركة السعودية للاستثمار الزراعي والانتاج الحيواني,Saudi Agriculture and Livestock Investment Company
1995,شركة خدمات الملاحة الجوية السعودية ,Saudi Air Navigation Services
1996,شركة الخطوط السعودية للخدمات الطبية,Saudi Airlines Medical Services Company
1997,الشركة العربية السعودية للاستثمارات الصناعية,Saudi Arabian Industrial Investments Company
1998,الشركة العربية السعودية للاستثمار,Saudi Arabian Investment Company
1999,الشركة السعودية للصناعات العسكرية,Saudi Arabian Military Industries
2000,الشركة السعودية البحرينية للاستثمار,Saudi Bahraini Investment Company
2001,الشركة السعودية للقهوة,Saudi Coffee Company
2002,الشركة السعودية لتهيئة وصيانة الطائرات,Saudi Company for Aircraft Modification and Maintenance
2003,الشركة السعودية للذكاء الاصطناعي,Saudi Company for Artificial Intelligence
2004,الشركة السعودية لحلول التأشيرات والسفر,Saudi Company for Visa and Travel Solutions
2005,شركة تبريد المناطق السعودية,Saudi District Cooling Company
2006,شركة داون تاون السعودية,Saudi Downtown Company
2007,الشركة السعودية المصرية للاستثمار,Saudi Egyptian Investment Company
2008,الشركة السعودية للالعاب الالكترونية القابضة,Saudi Electronic Gaming Holding Company
2009,شركة مشاريع الترفيه السعودية,Saudi Entertainment Ventures
2010,الشركة السعودية للخدمات المالية المساندة,Saudi Financial Support Services Company - Sanid
2011,الشركة السعودية العالمية للموانئ,Saudi Global Ports Company (Singapore)
2012,الشركة السعودية لتقنية المعلومات,Saudi Information Technology Company
2013,الشركة السعودية الاستثمارية لإعادة التدوير,Saudi Investment Recycling Company
2014,الشركة السعودية العراقية للاستثمار,Saudi Iraqi Investment Company
2015,الشركة السعودية للحديد والصلب (حديد),Saudi Iron & Steel Company (Hadeed)
2016,الشركة السعودية الأردنية للاستثمار,Saudi Jordanian Investment Company
2017,شركة خدمات التعدين )اسناد(.,Saudi Mining services company (ESNAD)
2018,الشركة السعودية العمانية للاستثمار,Saudi Omani Investment Company
2019,الشركة السعودية لشراء الطاقة,Saudi Power Procurement Company
2020,الشركة السعودية للخطوط الحديدية,Saudi Railway Company
2021,الشركة السعودية لإعادة التمويل العقاري,Saudi Real Estate Refinance Company
2022,الشركة السعودية السودانية للاستثمار,Saudi Sudanese Investment Company
2023,الشركة السعودية للتنمية والاستثمار التقني,Saudi Technology Development and Investment Company
2024,الشركة السعودية للتطوير السياحي مساهمه مقفله,Saudi Tourism Development Company
2025,الشركة السعودية للاستثمار السياحي,Saudi Tourism Investment Company
2026,الشركة السعودية لشراكات المياه ,Saudi Water Partnership Company
2027,طيران السعودية,Saudia Airlines
2028,شركة الخطوط السعودية للشحن,Saudia Cargo
2029,شركة سواني,Sawani Company
2030,شركة صلة,Sela Company
2031,سينستايم الشرق الأوسط وافريقيا المحدودة,SenseTime MEA Limited
2032,شركة السودة للتطوير,Soudah Development Company
2033,شركة سبل للخدمات الرقمية,SPL Digital Services Company
2034,شركة الاستثمار الرياضي,Sports Investments Company
2035,شركة تحكم الاستثمارية,Tahakom Investment Company
2036,تكامل القابضة,takamol holding company 
2037,شركة تطوير التعليم القابضة,Tatweer Education Holding Company
2038,شركة تحكم التقنية ,Technology Control Company 
2039,شركة الطائرات المروحية والنفاثة,The Helicopter and Jet Company
2040,الشركة الوطنية لخدمات كفاءة الطاقة,The National Energy Services Company
2041,الشركة السعودية لإدارة المرافق,The Saudi Facility Management Company
2042,ثقة لخدمات الأعمال,THIQAH Business Services
2043,شركة ام القرى للتنمية و الاعمار,Umm Al Qura Construction & Development Company
2044,شركة ابتاون جدة ,uptown jeddah company 
2045,شركة المياه والكهرباء القابضة,Water and Electricity Holding Company
2046,شركة الزامل للخدمات البحرية,Zamil Offshore Services Company
2047,شركة البحر الاحمر للتطوير,The Red Sea Development Company
2048,شركة إكسبو 2030 الرياض,Expo 2030 Riyadh Company
2049,شركة الواحة للأسواق الحرة,AlWaha Duty Free Company
2050,شركة تسامى خدمات الأعمال,TASAMA Business Services
2051,الشركة الوطنية للإسكان,National Housing Company 
2052,الشركة الوطنية للفضاء,National Space Company
2053,شركة آلات للتقنيات شركة شخص واحد مساهمة مقفلة,ALAT Technologies Company
2054,القورو,Algooru
2055,شركة الحوسبة السحابية العامة لتقنية المعلومات,ALI BABA CLOUD
2056,المطار,Almatar
2057,برق,Barq
2058,بيزات,Bayzat 
2059,كلاسيرا,Classera
2060,إليفاتوس,elevatus
2061,فلاورد,Floward
2062,فودكس,Foodics
2063,قاذران,Gathern
2064,شركة هلا للمدفوعات,Hala Payments 
2065,هايبر باي,Hyperpay
2066,إيمنسا,Immensa technology labs
2067,كلين,Kleen
2068,لبيه,labayh
2069,لمه,Lamaa
2070,لوازم,Lawazem
2071,لين,Lean 
2072,لوسيديا,Lucidya
2073,منافع,Manafa 
2074,العمل البارع,master works 
2075,سيارة ,Mawqi' Sayarah For Trading 
2076,مسمار,Mismar
2077,مرني,Morni
2078,مزن,Mozn
2079,مرسول,Mrsool
2080,نعناع,Nana
2081,نير باي,Near Pay
2082,نينجا,ninja
2083,نون أكادمي,Noon Academy
2084,نقطة,Nugttah
2085,باي تابز,PayTabs
2086,شركة بيني سوفتوير العربية لتقنية المعلومات,penny Software Arabia for Information Technology
2087,شركة قوافل للتسويق الإلكتروني,Qawafel Electronic Marketing Company
2088,كوانت,Quant Data & Analytics
2089,رين,Rain 
2090,راس مال,RasMal
2091,رسال,Resal
2092,ريتيلو,retailo
2093,رواء,Rewaa
2094,سلاسة,Salasa
2095,سلة,Salla
2096,ساري,sary
2097,شقردي,Shgardi
2098,شركة الحلول المبسطة المالية,Sifi
2099,سوم,Soum
2100,تمارا,Tamara
2101,تعميد,Tameed
2102,تمرة المالية,Tamra Capital 
2103,تلفاز 11,Telfaz 11
2104,تلقاني,Telgani
2105,تركر ,Trukker 
2106,طويق,Tweeq
2107,يونيفونك,Unifonic
2108,ويقو,wego
2109,زد,Zid
2110,شركة الدكان السريع لتقنية المعلومات ,Al-Dukkan Al-Saree' Information Technology Company
2111,شركة التجريب والابتكار المحدودة,AL-TAJRIB WALABTIKAR
2112,شركة عقار ماب السعودية المحدودة ,Aqarmap Corporation
2113,شركة اثير تقنية نظم المعلومات,Athir information systems technology
2114,شركة بينه للاتصالات وتقنية المعلومات شركة شخص واحد ( شخص واحد),BAEYNH Telecommunications and Information Technology
2115,شركة بلينك العربية لتقنية المعلومات شركة شخص واحد,Blink Arabia for Information Technology
2116,شركة بريدفاست للتجارة شركة شخص واحد,Breadfast Trading Cpmpany
2117,شركة بي ار كيه زد العالمية لتقنية المعلومات شركة شخص واحد,BRKZ International for Information Technology
2118,شركة كارتلو للتجارة ,Cartlow 
2119,شركة شفاء الشرق الأوسط لتقنية المعلومات شركة شخص واحد ( شخص واحد),Chefaa Middle East Information Technology Company
2120,شركة إبتكارات الفضاء للبحوث والدراسات (شخص واحد),Company EPTEKARAT AL-FUDHA for Research and Studies
2121,شركة اكوبيتال العربية للخدمات اللوجستية,Company OCOPETAL AL-ARABIA For logistics
2122,شركة سيف العلوم لتقنية المعلومات,Company SIF AL-ALOUM For Information Technology
2123,شركة ديلي ميلز الخليج للاتصالات وتقنية المعلومات شركة شخص واحد,Dailymealz Gulf for communication and information technology
2124,شركة دواء لنقل الطرود  شركة الشخص الواحد,Dawa for Package Transportation
2125,شركة القرار الحاسم لتقنية المعلومات ,Decisive Decision Information Technology Company
2126,شركة ايراد لتقنية المعلومات,Erad Information Technology Company 
2127,شركة جلاميرا  العربية لتقنية المعلومات,Glamera Arabia For Information Technology
2128,شركة العدسات المبتكرة,Innovative Lenses Compan
2129,شركة ذكاء الحلول للوساطة الرقمية ,Intelligent Solutions for Digital Mediation
2130,إنفيجو السعودية للاتصالات وتقنية,Invygo Saudi Arabia for Telecommunications and Technology
2131,شركة جسر النظم للاتصالات وتنقية المعلومات,Jisr Systems Company for Communications and Information Technology
2132,شركة خزنلي للخدمات اللوجستية شخص واحد,khazenly for logistic services
2133,شركة نصفك الأخر لتقنية المعلومات,NISFAK PTE. LTD.
2134,شركة أومنيفل السعودية لتقنية المعلومات,Omniful Saudi for information technology company
2135,اوتو جلوبال العربية لتقنية المعلومات,OTO Global Arabia Company for Information Technology
2136,شركة ريتشوير لتقنية المعلومات شخص واحد,REACHWARE Information Technology Company
2137,شركة ريفنت الدولية لتقنية المعلومات ,REVENT INTERNATIONAL FOR INFORMATION TECHNOLOGY COMPANY 
2138,شركة سند اركان المستقبل لتقنية المعلومات ,Sand Arkan Al-Mustaqbal for Information Technology
2139,شركة الحلول الكافية لتقنية المعلومات,Sufficient Solutions for Information Technology
2140,شركة تابي السعودية للاتصالات وتقنية المعلومات شركة شخص واحد,Tabby
2141,شركة وعد الرقمي للاتصالات وتقنية المعلومات,Waad Digital Telecommunications and Information Technology Company
2142,شركة الجمل الأبيض لتقنية المعلومات شركة شخص واحد ( شخص واحد),white Camel Information Technology company
2143,شركة ليندو السعودية للتمويل مساهمة مغلقة ,Lendo Saudi Financing Company – Closed Joint Stock Company
2144,شركة فاب كابيتال المالية, FAB Capital
2145, شركة أديم المالية,Adeem Financial Company
2146,شركة آفاق المالية,Afaq Capital
2147,شركة المسكن الميسر,Affordable house co
2148,مجموعة النفيعي للاستثمار,Al Nefaie Investment Group
2149,شركة الراجحي المالية,Al Rajhi Capital
2150, شركة الوساطة المالية,Al Wasatah Al Maliah Company
2151,شركة الأول كابيتال,AlAwwal Capital Company
2152,شركة البلاد للاستثمار,AlBilad Investment Company
2153,مجموعة الدخيل المالية,AlDukheil Financial Group
2154,شركة الإنماء للاستثمار,Alinma Investment Company
2155,شركة الاستثمار للأوراق المالية والوساطة (الاستثمار كابيتال),Alistithmar Capital Company
2156,شركة الجزيرة للأسواق المالية,AlJazira Capital Company
2157, شركة الخبير المالية,Al-Khabeer Capital 
2158,شركة الخير كابيتال السعودية,AlKhair Capital Saudi Arabia Company
2159,شركة الخزانة المالية,Alkhizanah Capital Company
2160,شركة ألفا المالية,Alpha Capital
2161,شركة الرائدة للتمويل ,Alraedah Finance Company
2162,شركة أموال المالية,Amwal Financial Co.
2163,ابيكس فاندروك للأستثمار,Apex Fundrock for Investment 
2164,شركة العربي المالية شخص واحد مساهمة,Arab National Investment Company
2165,شركة أرباح المالية,Arbah Capital Company
2166,شركة اركابيتا المالية,Arcapita Saudi Capital Company
2167,شركة آرش المالية,Arch Capital 
2168,شركة أريب المالية,Areeb Capital Company 
2169,شركة أرتال المالية,Artal Capital Company
2170,شركة أشمور للاستثمار السعودية,Ashmore Investment Saudi Arabia
2171,شركة أسياف للأستثمار,Asyaf Investment Company
2172,شركة عوده كابيتال,Audi Capital Company
2173,شركة عوائد الأصول المالية,Awaed Alosool Capital
2174,شركة بيت المال الخليجي,Bait Al Mal Al Khaleeji Company
2175,شركة بيت النمو المالية,Bayt Alnomow Capital Company
2176,شركة بلاك روك العربية السعودية,BlackRock Saudi Arabia
2177,شركة بي ال ام إي المالية,BLME Saudi Arabia Company
2178,شركة بلوم للاستثمار السعودية,Blominvest Saudi Arabia Company
2179,مجموعة بي إ م جي المالية,BMG Financial Group
2180,شركة بي إن بي باريبا السعودية للاستثمار,BNP Pariba Investment Company KSA
2181,شركة بي ان واي ميلون السعودية المالية,BNY Mellon Saudi Financial Company
2182,شركة سيتي جروب العربية السعودية,Citigroup Saudi Arabia
2183,شركة كريدي اجريكول سي آي بي العربية المالية,Credit Agricole CIB Arabia Financial
2184,شركة كريديت سويس العربية السعودية,Credit Suisse Saudi Arabia Company
2185,شركة دراية المالية,Derayah Financial Company
2186,دويتشه العربية السعودية للأوراق المالية,Deutsche Securities Saudi Arabia Company
2187, شركة دوم كابيتال المالية,Dom Capital Financial Company
2188,شركة جسر الشرق المالية,East Bridge Capital
2189,شركة المجموعة المالية-هيرميس السعودية,EFG-Hermes-KSA
2190,شركة إحاطة المالية,Ehata Financial Company
2191,شركة إجادة المالية,Ejada Capital
2192,شركة الإمارات دبي الوطني كابيتال السعودية,Emirates NBD Capital KSA LLC
2193,شركة إمكان للتمويل,Emkan finance company
2194,شركة الإرتقاء المالية,Erteqa Financial Company
2195,شركة اسناد المالية,Esnad Financial Company 
2196,شركة أف آي إم بارتنرز كي أس أيه,FIM Partners KSA
2197,شركة المبدعون المالية,Financial Innovators Company
2198,شركة فيتش أستراليا بيه تي واي إل تي دي,Fitch Australia PTY Ltd
2199,شركة فرصة المالية,Forsa Capital
2200,شركة جي إف إتش السعودية المالية,GFH Capital Saudi Arabia
2201,شركة جي أي بي كابيتال,GIB Capital Company
2202,شركة جولدمان ساكس العربية السعودية,Goldman Sachs Saudi Arabia Company
2203,شركة جرينستون العربية السعودية,Greenstone Saudi Arabia
2204,شركة المستثمرون الخليجيون لإدارة الأصول,Gulf Investors Asset Management Company
2205,شركة هيكلة الإدارية,Haykala Capital compan
2206,شركة إتش إس بي سي العربية السعودية,HSBC Saudi Arabia Limited
2207,شركة تأثير المالية,Impact Capital Company
2208,شركة إثمار السعودية للاستشارات المالية,Ithmar Saudi Financial Consultancy Services
2209,شركة إتقان كابيتال,Itqan Capital Company
2210,شركة جي بي مورقان العربية السعودية,J.P. Morgan Saudi Arabia Company
2211,شركة جدارة للأستثمار,JADARA Investment Company
2212,شركة جدوى للاستثمار,Jadwa Investment Company
2213,شركة كادن للإستثمار,Kaden investments
2214,شركة كامكو للاستثمار,Kamco Investment Company
2215,شركة قيمة المالية,Value Capital Company
2216,شركة كي كي آر السعودية,KKR Saudi Limited
2217,شركة لدن للإستثمار,Ladun Investment Company
2218,شركة لازارد العربية السعودية,Lazard Saudi Arabia limited Company
2219,شركة الملز المالية,Malaz Capital Company
2220,شركة معرفة المالية,Marifa Capital
2221,شركة مشورة المالية,Mashora Capital
2222,شركة مدر للأستثمار,Mdr investment co
2223,ميفك كابيتال,Mefic Capital
2224,شركة ميراك المالية,Merak Capital Company
2225,شركة ميريل لينش المملكة العربية السعودية,Merrill Lynch KSA Company
2226, شركة الشرق الأوسط للاستثمار المالي,Middle East Financial Investment Company
2227,شركة معيار المالية,Miyar capital
2228,شركة ميزوهو العربية السعودية,Mizuho Saudi Arabia Company
2229,شركة ام ام سي المالية,MMC Financial Company
2230, شركة موليس اند كومباني السعودية المحدودة,Moelis & Company Saudi Limited 
